Method,Mean Accuracy (%),Std Deviation (%),Best Run (%),Worst Run (%),Number of Runs
BASE,67.89,0.00,67.89,67.89,1
OVF,74.72,0.00,74.72,74.72,1
IRS,67.41,0.00,67.41,67.41,1
BNN,9.90,0.00,9.90,9.90,1
